log_id,date_key,machine_id,shift_id,stage_id,units_produced,scrap_count
132,20250113,5,3,2,366,6
133,20240917,19,2,7,511,2
134,20240818,11,1,4,504,3
135,20240210,13,3,4,395,4
136,20240128,5,1,2,482,9
137,20240514,4,2,2,539,6
138,20240719,4,2,2,552,8
139,20241123,4,1,2,604,7
140,20240924,4,2,2,525,10
141,20250221,18,3,6,555,3
142,20240202,18,1,6,626,3
143,20240217,16,2,5,404,3
144,20250210,9,2,3,492,4
145,20240302,18,1,6,597,4
146,20240803,2,3,1,491,6
147,20241019,4,1,2,542,4
148,20240408,12,2,4,496,2
149,20240620,7,2,3,474,4
150,20241225,15,1,5,530,4
151,20240801,7,3,3,441,5
152,20240204,17,3,6,575,5
153,20250324,16,3,5,425,4
154,20240814,19,1,7,566,5
155,20240410,9,3,3,476,3
156,20250306,14,3,4,358,5
157,20240510,17,3,6,613,1
158,20240913,5,3,2,391,5
159,20240105,2,2,1,432,4
160,20240805,16,1,5,518,7
161,20240911,14,1,4,373,4
162,20250201,14,3,4,445,5
163,20241224,1,1,1,570,8
164,20241009,3,1,1,398,3
165,20250127,7,2,3,499,6
166,20240725,15,1,5,534,1
167,20240115,19,2,7,567,4
168,20241211,2,1,1,570,6
169,20240211,19,2,7,535,2
170,20250114,9,2,3,456,3
171,20240627,19,1,7,533,3
172,20240303,5,2,2,329,6
173,20241217,18,2,6,570,5
174,20240818,16,1,5,505,1
175,20240828,4,2,2,570,2
176,20240221,12,2,4,564,4
177,20240405,7,2,3,446,5
178,20250122,14,2,4,501,5
179,20240809,12,2,4,529,6
180,20250210,3,3,1,545,3
181,20240818,5,2,2,415,8
182,20240824,17,2,6,570,7
183,20240522,10,2,4,337,4
184,20240619,10,2,4,438,4
185,20240129,11,1,4,475,3
186,20240205,17,3,6,585,5
187,20240113,5,1,2,418,8
188,20240608,13,3,4,438,4
189,20241122,10,2,4,352,5
190,20240705,9,2,3,427,4
191,20240830,17,3,6,556,5
192,20240326,1,3,1,522,11
193,20241010,4,1,2,586,8
194,20240306,4,3,2,502,10
195,20240618,18,2,6,577,2
196,20240214,9,1,3,514,6
197,20240302,18,3,6,523,2
198,20250316,14,3,4,408,4
199,20240513,15,1,5,522,0
200,20241010,6,3,3,422,5
201,20240128,10,2,4,430,9
202,20240417,15,1,5,539,4
203,20240213,4,3,2,571,9
204,20241205,18,2,6,601,3
205,20241012,18,3,6,510,2
206,20250321,17,1,6,586,1
207,20241126,12,3,4,532,11
208,20240507,7,3,3,456,6
209,20241213,16,3,5,478,5
210,20240818,11,2,4,632,9
211,20240708,14,2,4,450,4
212,20240812,3,3,1,465,12
213,20250119,19,3,7,549,3
214,20250111,18,1,6,608,2
215,20241009,10,3,4,370,5
216,20250321,6,1,3,544,5
217,20240430,13,2,4,422,3
218,20240425,10,3,4,375,4
219,20240820,18,1,6,576,1
220,20240915,16,2,5,478,4
221,20241224,6,1,3,614,2
222,20240716,13,2,4,367,4
223,20250331,4,3,2,559,3
224,20250214,14,1,4,336,5
225,20240516,1,3,1,476,6
226,20241113,5,1,2,455,4
227,20240613,8,2,3,530,5
228,20240812,12,1,4,520,6
229,20241102,2,1,1,466,7
230,20240821,12,3,4,537,6
231,20240620,5,3,2,318,8
232,20240531,5,3,2,375,8
233,20241110,13,2,4,463,7
234,20250108,9,3,3,440,1
235,20240608,10,1,4,559,2
236,20240405,1,2,1,536,5
237,20240820,3,3,1,307,8
238,20240628,18,1,6,595,0
239,20240422,12,1,4,533,4
240,20241113,3,2,1,469,4
241,20250317,9,1,3,469,1
242,20240221,2,3,1,455,6
243,20240924,3,1,1,465,9
244,20241021,14,3,4,450,7
245,20250120,4,3,2,503,11
246,20250121,19,2,7,533,2
247,20240422,13,1,4,451,8
248,20240410,7,2,3,410,7
249,20240422,12,2,4,594,5
250,20250315,3,2,1,447,8
251,20240321,9,3,3,417,6
252,20240705,2,3,1,497,3
253,20240422,9,3,3,545,9
254,20240102,12,3,4,549,6
255,20240509,12,1,4,506,9
256,20240807,15,1,5,503,3
257,20240223,2,3,1,511,11
258,20241208,18,3,6,528,2
259,20240811,13,1,4,497,9
260,20240812,14,2,4,462,9
261,20250119,5,2,2,322,6
262,20250206,10,3,4,386,5
263,20240505,12,2,4,434,9
264,20240509,10,3,4,324,10
265,20240222,11,3,4,440,4
266,20240620,2,3,1,410,6
267,20240805,5,1,2,487,10
268,20240608,7,2,3,367,6
269,20240716,6,1,3,490,5
270,20250219,3,2,1,433,7
271,20240903,13,1,4,547,4
272,20241119,3,1,1,368,7
273,20250314,6,3,3,526,5
274,20240721,11,3,4,451,5
275,20240702,17,1,6,585,1
276,20240502,10,2,4,437,5
277,20250204,12,2,4,544,4
278,20240911,17,3,6,552,3
279,20241020,4,3,2,541,10
280,20241006,2,2,1,464,5
281,20241120,11,2,4,475,7
282,20250106,7,2,3,482,5
283,20240407,2,3,1,523,5
284,20240716,18,2,6,537,5
285,20250129,4,3,2,603,6
286,20240827,8,1,3,490,4
287,20240523,14,1,4,421,7
288,20240406,12,1,4,573,6
289,20240719,18,2,6,580,3
290,20240503,11,3,4,424,1
291,20240705,8,2,3,522,4
292,20241121,2,3,1,440,12
293,20241214,15,2,5,483,7
294,20240915,9,1,3,532,3
295,20240527,19,3,7,531,2
296,20240908,8,2,3,509,7
297,20250318,19,3,7,547,4
298,20250223,5,3,2,381,6
299,20250206,11,2,4,504,5
300,20241211,15,2,5,526,4
301,20250326,8,3,3,483,5
302,20240526,19,3,7,503,2
303,20240527,8,1,3,565,10
304,20241217,19,3,7,539,6
305,20240717,18,1,6,589,2
306,20241103,10,1,4,427,3
307,20250220,7,1,3,530,6
308,20250227,9,3,3,442,5
309,20240507,1,1,1,549,2
310,20240208,19,3,7,514,3
311,20241203,5,3,2,349,6
312,20241225,19,2,7,576,5
313,20240508,1,3,1,521,3
314,20240923,15,3,5,512,3
315,20250316,16,1,5,547,4
316,20250309,7,3,3,428,3
317,20240530,12,3,4,537,4
318,20250218,8,2,3,519,6
319,20241024,5,2,2,397,9
320,20240408,10,1,4,411,2
321,20240919,5,1,2,395,4
322,20240908,17,2,6,606,0
323,20240523,5,2,2,329,6
324,20241211,15,3,5,556,4
325,20240421,13,1,4,424,4
326,20240229,1,1,1,487,5
327,20250103,11,3,4,499,3
328,20240102,1,3,1,520,2
329,20250119,11,1,4,511,6
330,20241030,18,2,6,589,3
331,20240910,18,2,6,571,4
332,20240519,16,3,5,416,1
333,20250328,13,1,4,478,6
334,20240206,7,3,3,390,8
335,20240608,1,2,1,548,3
336,20240109,16,2,5,468,5
337,20240820,1,3,1,464,6
338,20240408,17,2,6,583,2
339,20240526,6,1,3,528,6
340,20241030,2,3,1,437,7
341,20240726,17,3,6,546,4
342,20240510,6,3,3,485,4
343,20250207,14,2,4,431,5
344,20240531,18,1,6,575,3
345,20240223,6,3,3,453,9
346,20240429,10,3,4,405,6
347,20240609,18,2,6,531,3
348,20250211,9,1,3,446,7
349,20240425,8,3,3,486,5
350,20240315,10,2,4,393,5
351,20240422,17,3,6,575,1
352,20250331,6,2,3,561,5
353,20250223,14,1,4,479,4
354,20250225,6,2,3,487,5
355,20240413,7,3,3,426,4
356,20241205,12,3,4,484,3
357,20240910,3,2,1,425,2
358,20240814,14,1,4,413,10
359,20240421,19,1,7,569,3
360,20240408,16,3,5,419,4
361,20240601,7,3,3,456,3
362,20241214,8,2,3,571,3
363,20250205,18,2,6,569,1
364,20250118,13,2,4,480,4
365,20241231,9,1,3,526,7
366,20241203,10,1,4,393,3
367,20240712,9,3,3,473,3
368,20241105,15,3,5,484,4
369,20240611,2,3,1,464,5
370,20240726,13,2,4,422,5
371,20250320,2,1,1,495,10
372,20240617,19,3,7,535,1
373,20240609,2,3,1,518,8
374,20240308,3,3,1,457,9
375,20241015,6,3,3,571,2
376,20250201,3,3,1,370,5
377,20241003,10,3,4,447,3
378,20241030,6,1,3,518,2
379,20250207,16,3,5,552,4
380,20250118,17,1,6,589,2
381,20250126,19,2,7,518,2
382,20240514,3,1,1,410,10
383,20240713,18,2,6,512,3
384,20250204,7,1,3,431,5
385,20240507,9,1,3,471,5
386,20240202,12,3,4,520,7
387,20240624,5,1,2,410,5
388,20250318,3,1,1,533,8
389,20250105,11,3,4,490,6
390,20250109,4,2,2,545,6
391,20240122,5,3,2,308,4
392,20240825,1,3,1,510,5
393,20240606,18,3,6,511,2
394,20240207,12,2,4,596,6
395,20240817,13,1,4,533,4
396,20241230,9,1,3,482,3
397,20240220,2,3,1,391,11
398,20250313,5,3,2,443,3
399,20240920,13,1,4,469,6
400,20241009,16,1,5,544,5
401,20240127,16,1,5,419,3
402,20240813,3,2,1,396,8
403,20241003,4,2,2,562,6
404,20241012,11,3,4,453,3
405,20240406,14,2,4,390,4
406,20241010,3,3,1,440,9
407,20250101,16,1,5,443,2
408,20250323,15,1,5,515,2
409,20250328,10,3,4,398,4
410,20241112,9,1,3,519,7
411,20241030,11,3,4,480,5
412,20240526,16,3,5,406,3
413,20240104,10,3,4,290,0
414,20240204,17,2,6,623,3
415,20240710,19,3,7,530,3
416,20240218,2,3,1,430,5
417,20240117,2,3,1,522,16
418,20240620,6,2,3,499,3
419,20240807,19,1,7,595,2
420,20240606,8,2,3,530,7
421,20240215,3,3,1,512,12
422,20250107,14,2,4,518,2
423,20240106,16,1,5,479,1
424,20240408,1,1,1,564,5
425,20250114,3,3,1,441,3
426,20240820,18,1,6,628,1
427,20240206,9,2,3,448,1
428,20241006,6,2,3,525,7
429,20241214,1,1,1,567,4
430,20241028,10,3,4,276,2
431,20240629,6,3,3,421,4
432,20240404,12,2,4,473,2
433,20240408,4,1,2,571,9
434,20240706,13,2,4,496,5
435,20240425,17,2,6,629,1
436,20240709,8,2,3,530,5
437,20240909,3,3,1,490,6
438,20250219,12,1,4,510,4
439,20240609,7,1,3,366,4
440,20240912,12,3,4,514,3
441,20241118,2,2,1,495,8
442,20240507,14,2,4,415,9
443,20240118,5,3,2,238,6
444,20241007,9,1,3,496,8
445,20240810,11,3,4,396,7
446,20240223,5,1,2,430,7
447,20240227,3,1,1,458,4
448,20241118,17,1,6,586,4
449,20241225,2,2,1,459,6
450,20240622,1,2,1,477,7
451,20241006,7,3,3,424,9
452,20240423,14,3,4,455,4
453,20241014,5,2,2,319,7
454,20250306,19,3,7,535,2
455,20241207,11,2,4,448,4
456,20240530,2,2,1,448,0
457,20250325,8,1,3,542,2
458,20240506,9,1,3,460,5
459,20240603,3,2,1,399,4
460,20250120,2,1,1,447,9
461,20240929,7,2,3,554,6
462,20240413,5,1,2,392,10
463,20250220,5,3,2,320,7
464,20250127,13,3,4,452,5
465,20241025,6,2,3,489,3
466,20240902,18,2,6,566,4
467,20240624,2,1,1,519,8
468,20240208,6,1,3,544,8
469,20240618,9,2,3,464,6
470,20240903,3,3,1,380,15
471,20240126,1,3,1,483,5
472,20241220,1,2,1,433,7
473,20241101,19,3,7,475,3
474,20250212,5,2,2,460,5
475,20250211,13,1,4,557,8
476,20240113,19,3,7,513,5
477,20241111,12,3,4,534,5
478,20250125,16,1,5,503,2
479,20241108,19,1,7,652,4
480,20240205,3,3,1,465,12
481,20240621,12,3,4,512,8
482,20240120,5,2,2,320,10
483,20241116,2,2,1,415,5
484,20240920,7,3,3,438,4
485,20250203,13,2,4,422,4
486,20240521,15,1,5,470,3
487,20250105,3,2,1,394,8
488,20240522,5,2,2,313,6
489,20240401,8,3,3,554,4
490,20241219,1,2,1,544,8
491,20241117,8,3,3,506,8
492,20241014,18,3,6,590,3
493,20240802,16,3,5,459,2
494,20250322,18,1,6,565,2
495,20241207,12,2,4,587,4
496,20240220,13,2,4,487,7
497,20240601,13,2,4,408,5
498,20240704,10,3,4,378,4
499,20240303,7,1,3,411,6
500,20240708,14,3,4,319,4
501,20240504,16,2,5,516,2
502,20240529,15,3,5,550,2
503,20241109,12,3,4,471,7
504,20240227,9,2,3,506,5
505,20241207,8,3,3,488,1
506,20241031,18,3,6,535,2
507,20240628,18,1,6,573,4
508,20240618,13,3,4,398,4
509,20241121,18,1,6,591,1
510,20240927,15,2,5,475,4
511,20240223,4,1,2,588,4
512,20250319,17,3,6,566,7
513,20240410,5,2,2,363,2
514,20240920,16,3,5,415,1
515,20240222,9,3,3,443,6
516,20240229,10,1,4,469,6
517,20240417,18,3,6,562,3
518,20240105,17,1,6,585,2
519,20240412,18,2,6,575,1
520,20240714,7,2,3,487,5
521,20240918,4,3,2,489,10
522,20241230,5,1,2,422,7
523,20250106,16,3,5,426,4
524,20241215,3,3,1,437,8
525,20240216,18,3,6,527,1
526,20241220,14,3,4,295,6
527,20241106,15,1,5,463,4
528,20250227,17,3,6,568,1
529,20241103,1,2,1,523,6
530,20240523,17,1,6,587,2
531,20240925,11,3,4,477,2
532,20250104,17,1,6,568,5
533,20240503,14,3,4,396,3
534,20240415,19,2,7,506,1
535,20240606,7,2,3,410,7
536,20240526,13,2,4,463,5
537,20240524,18,1,6,565,2
538,20240429,14,2,4,394,4
539,20241114,1,3,1,528,10
540,20241001,7,3,3,396,7
541,20240401,8,3,3,530,5
542,20240227,18,1,6,558,3
543,20250314,9,1,3,520,6
544,20241211,1,2,1,564,7
545,20240816,17,1,6,548,2
546,20240426,19,3,7,496,6
547,20241113,6,3,3,500,5
548,20241005,3,3,1,399,8
549,20240506,5,1,2,412,9
550,20250127,2,3,1,436,3
551,20250130,4,2,2,565,9
552,20240508,10,1,4,409,6
553,20240227,10,3,4,466,4
554,20240501,11,3,4,461,4
555,20240101,16,1,5,504,4
556,20240826,17,1,6,599,3
557,20241016,16,2,5,453,4
558,20240405,7,1,3,436,4
559,20240505,16,3,5,473,0
560,20240427,3,2,1,405,4
561,20240217,16,3,5,468,3
562,20240329,8,3,3,564,3
563,20240824,12,3,4,544,5
564,20250107,3,1,1,423,9
565,20250119,17,1,6,640,5
566,20240928,18,3,6,537,4
567,20240707,11,1,4,399,5
568,20240710,4,3,2,509,7
569,20250322,16,1,5,407,3
570,20240309,17,1,6,601,2
571,20241004,9,1,3,500,3
572,20241214,6,2,3,570,3
573,20240903,2,1,1,508,6
574,20250326,9,2,3,476,7
575,20240316,6,2,3,532,3
576,20240602,3,2,1,316,6
577,20240523,6,3,3,484,6
578,20250310,7,1,3,502,1
579,20240326,1,3,1,441,8
580,20240703,1,2,1,554,8
581,20241011,5,1,2,410,5
582,20240807,6,3,3,455,6
583,20240309,13,2,4,492,9
584,20240216,2,3,1,551,4
585,20240403,15,3,5,489,0
586,20240825,15,1,5,528,6
587,20250321,13,1,4,452,5
588,20250328,14,3,4,350,2
589,20240722,7,1,3,505,4
590,20250203,14,1,4,380,5
591,20240805,10,3,4,395,5
592,20250307,17,1,6,598,4
593,20241206,14,1,4,457,5
594,20240208,8,2,3,537,6
595,20240409,4,1,2,611,9
596,20241015,16,2,5,452,4
597,20240910,13,3,4,428,4
598,20240809,18,2,6,544,5
599,20241222,14,3,4,374,4
600,20240123,18,1,6,600,5
601,20240906,5,1,2,435,7
602,20240110,9,2,3,449,2
603,20240902,3,3,1,452,7
604,20241120,8,1,3,582,6
605,20240409,10,2,4,434,8
606,20241016,19,2,7,599,6
607,20240628,3,2,1,388,7
608,20240810,11,1,4,432,7
609,20250128,11,3,4,376,2
610,20240906,17,1,6,647,2
611,20240526,16,1,5,518,2
612,20250317,7,3,3,424,2
613,20240405,4,2,2,570,8
614,20240913,19,1,7,526,4
615,20241120,12,2,4,616,7
616,20240104,15,2,5,508,2
617,20240116,11,3,4,455,7
618,20241006,5,3,2,406,9
619,20241201,5,3,2,391,8
620,20240903,15,2,5,512,4
621,20240914,18,2,6,550,4
622,20250118,11,1,4,504,1
623,20240608,12,2,4,598,6
624,20241205,2,3,1,514,9
625,20240531,15,3,5,539,1
626,20250130,4,3,2,524,6
627,20240626,18,3,6,520,4
628,20240611,6,2,3,489,3
629,20250114,19,3,7,522,0
630,20240202,11,1,4,530,5
631,20250220,2,2,1,412,5
632,20250320,8,3,3,549,6
633,20240627,11,1,4,478,8
634,20250302,5,3,2,337,6
635,20240410,18,2,6,543,5
636,20240924,18,2,6,525,6
637,20241118,14,1,4,477,3
638,20240305,10,2,4,412,2
639,20250220,3,1,1,375,6
640,20240616,9,3,3,415,4
641,20241125,3,2,1,410,8
642,20240212,11,3,4,521,2
643,20240213,12,3,4,507,5
644,20241011,12,2,4,490,4
645,20250131,3,3,1,396,5
646,20240112,7,1,3,445,7
647,20240404,14,1,4,273,7
648,20241028,11,1,4,482,4
649,20250120,7,2,3,433,8
650,20240909,10,3,4,435,7
651,20240829,11,3,4,528,6
652,20240204,15,3,5,523,9
653,20240802,19,3,7,512,5
654,20241202,16,1,5,441,2
655,20240330,12,2,4,620,4
656,20240920,18,1,6,591,3
657,20240402,13,1,4,475,3
658,20250213,5,2,2,376,11
659,20240330,4,2,2,568,4
660,20250221,14,1,4,421,5
661,20240424,8,3,3,490,5
662,20240414,9,2,3,464,8
663,20250125,19,2,7,542,1
664,20240714,3,1,1,412,12
665,20241109,5,3,2,319,7
666,20240423,18,2,6,575,0
667,20240315,1,1,1,521,15
668,20250216,8,2,3,570,1
669,20250110,19,3,7,441,4
670,20250223,17,1,6,637,1
671,20240804,17,1,6,641,2
672,20241003,11,3,4,363,8
673,20240905,2,1,1,481,2
674,20240612,6,3,3,457,7
675,20250128,14,1,4,348,3
676,20241222,3,3,1,370,7
677,20250211,12,2,4,502,3
678,20240710,4,2,2,615,10
679,20240814,12,2,4,568,8
680,20240625,13,1,4,538,3
681,20240408,2,3,1,489,6
682,20240205,2,3,1,415,6
683,20240405,15,2,5,486,4
684,20240531,17,2,6,603,1
685,20240530,7,2,3,378,11
686,20240708,14,3,4,441,4
687,20240811,12,2,4,530,11
688,20240206,17,1,6,600,6
689,20240924,14,2,4,458,2
690,20250103,6,2,3,514,7
691,20240701,19,3,7,509,4
692,20240113,6,1,3,562,5
693,20241005,18,3,6,518,1
694,20240804,5,1,2,426,10
695,20241220,6,1,3,536,5
696,20241226,2,2,1,467,3
697,20241012,8,2,3,537,4
698,20240929,15,3,5,439,5
699,20250103,15,3,5,515,2
700,20240302,11,3,4,443,9
701,20240324,1,1,1,511,5
702,20250102,18,3,6,578,6
703,20240804,12,1,4,532,9
704,20241207,12,1,4,509,6
705,20250131,11,1,4,419,7
706,20240705,8,1,3,561,7
707,20240119,7,1,3,389,6
708,20240625,2,2,1,550,9
709,20240409,11,1,4,397,8
710,20250130,10,1,4,530,5
711,20250320,3,2,1,437,6
712,20240820,10,2,4,401,6
713,20250206,18,2,6,557,3
714,20240316,14,3,4,423,1
715,20240921,18,3,6,547,3
716,20250330,8,1,3,575,9
717,20241010,10,1,4,427,4
718,20240724,13,1,4,482,5
719,20240810,8,1,3,534,6
720,20250118,4,2,2,560,10
721,20240221,4,3,2,548,7
722,20241204,5,2,2,275,9
723,20250101,1,3,1,445,4
724,20240523,17,2,6,610,3
725,20250107,2,1,1,501,4
726,20240309,8,3,3,501,6
727,20240408,7,1,3,461,5
728,20250130,15,3,5,495,5
729,20240125,5,3,2,330,5
730,20250311,2,1,1,463,6
731,20250113,7,1,3,470,3
732,20240222,8,1,3,517,6
733,20240530,7,2,3,468,5
734,20240523,7,3,3,334,6
735,20240226,14,3,4,459,2
736,20240208,18,3,6,561,3
737,20240418,6,1,3,521,7
738,20240629,4,3,2,568,6
739,20240211,10,3,4,498,7
740,20240704,18,1,6,618,3
741,20250226,12,1,4,496,2
742,20250201,16,3,5,399,3
743,20240810,7,2,3,411,3
744,20240501,6,1,3,511,4
745,20240512,5,2,2,409,6
746,20240611,3,2,1,390,6
747,20240802,12,2,4,544,8
748,20240808,15,2,5,477,4
749,20240822,10,1,4,380,6
750,20241126,19,3,7,478,5
751,20240525,16,3,5,415,1
752,20240826,11,1,4,428,6
753,20240316,8,1,3,517,2
754,20240109,3,2,1,479,3
755,20240314,7,2,3,393,3
756,20250317,7,1,3,604,3
757,20250204,14,3,4,428,5
758,20240909,2,2,1,487,6
759,20240817,10,1,4,364,6
760,20240107,19,1,7,581,2
761,20240622,9,1,3,478,5
762,20240520,16,2,5,480,5
763,20240616,19,1,7,636,4
764,20240618,18,3,6,546,1
765,20250127,9,1,3,543,5
766,20250309,16,2,5,444,3
767,20241009,13,3,4,440,2
768,20240501,10,3,4,505,3
769,20240712,14,1,4,393,7
770,20240105,12,1,4,612,9
771,20240129,19,3,7,542,4
772,20240613,7,1,3,429,3
773,20250225,15,2,5,526,1
774,20241204,16,3,5,498,1
775,20240515,8,1,3,562,3
776,20241230,10,3,4,288,7
777,20241116,4,1,2,558,9
778,20241207,19,1,7,552,2
779,20240524,19,2,7,540,3
780,20241122,15,1,5,541,0
781,20240804,14,1,4,440,4
782,20241027,1,1,1,483,8
783,20240511,16,2,5,492,5
784,20241018,10,1,4,459,5
785,20240310,19,1,7,576,6
786,20240908,3,1,1,494,4
787,20250218,5,3,2,412,6
788,20241001,9,2,3,502,2
789,20250320,18,3,6,546,4
790,20241229,11,2,4,400,3
791,20240630,16,2,5,494,2
792,20240615,2,3,1,468,15
793,20240331,12,2,4,547,7
794,20240720,6,2,3,437,1
795,20241211,11,3,4,405,4
796,20240119,8,1,3,574,5
797,20240208,12,2,4,537,5
798,20240505,2,3,1,487,5
799,20250326,9,2,3,486,7
800,20240621,15,3,5,484,5
801,20240520,2,1,1,532,9
802,20240829,1,2,1,496,2
803,20240807,10,1,4,426,6
804,20240505,2,1,1,476,7
805,20240227,12,3,4,502,3
806,20240527,8,2,3,519,5
807,20250331,5,2,2,391,6
808,20241112,1,2,1,497,8
809,20250117,15,2,5,548,5
810,20241226,6,2,3,454,3
811,20250226,12,3,4,510,9
812,20240101,8,2,3,516,9
813,20250121,13,1,4,547,4
814,20241213,19,1,7,565,3
815,20240708,1,2,1,550,2
816,20240709,11,3,4,388,4
817,20250103,1,3,1,502,14
818,20250212,8,2,3,553,6
819,20241107,5,1,2,394,9
820,20250220,17,2,6,618,4
821,20250225,8,2,3,514,3
822,20240426,10,2,4,499,6
823,20240513,2,3,1,552,11
824,20240227,9,3,3,451,7
825,20240213,3,1,1,417,3
826,20240621,18,1,6,630,1
827,20240608,7,2,3,533,2
828,20240621,15,1,5,501,5
829,20241112,18,2,6,560,9
830,20241029,3,1,1,425,8
831,20240528,14,2,4,339,5
832,20240320,2,3,1,423,7
833,20250108,14,2,4,358,2
834,20240731,11,3,4,418,7
835,20240721,16,3,5,454,2
836,20240908,8,1,3,551,4
837,20240816,7,1,3,545,7
838,20240612,11,3,4,409,0
839,20240814,3,2,1,476,3
840,20240526,17,2,6,586,1
841,20240120,14,1,4,427,2
842,20250316,6,2,3,525,4
843,20250205,8,2,3,497,7
844,20240216,5,2,2,401,3
845,20240820,8,3,3,511,2
846,20241031,2,3,1,480,7
847,20240114,15,2,5,514,0
848,20240522,12,1,4,633,6
849,20250218,17,2,6,575,6
850,20240101,1,1,1,511,4
851,20250107,15,3,5,461,4
852,20240223,14,2,4,384,6
853,20250108,16,2,5,447,4
854,20240915,9,1,3,545,6
855,20240523,1,1,1,579,11
856,20250316,17,2,6,577,1
857,20240112,13,2,4,419,9
858,20241125,5,1,2,418,11
859,20240811,10,3,4,354,6
860,20240928,6,1,3,538,4
861,20250331,19,2,7,549,1
862,20241223,13,3,4,365,4
863,20250211,1,3,1,547,8
864,20240604,15,3,5,546,1
865,20250107,14,3,4,364,6
866,20240108,8,2,3,517,3
867,20240501,10,3,4,409,6
868,20241213,9,1,3,512,3
869,20240612,17,1,6,626,2
870,20240330,9,1,3,576,8
