cost_id,date_key,stage_id,payroll_hours,material_cost,utility_cost
200,20250320,4,8.0,253.89,79.19
201,20241213,1,8.1,331.01,97.94
202,20240628,7,7.4,183.56,89.86
203,20240504,1,9.4,270.27,147.78
204,20240607,4,5.6,183.98,100.37
205,20240929,4,6.5,243.0,83.61
206,20240724,6,8.2,240.75,74.34
207,20241001,5,10.8,437.92,148.78
208,20250125,4,6.5,234.97,79.61
209,20240501,1,9.3,293.31,157.46
210,20250101,1,9.4,356.86,109.36
211,20240123,3,8.3,272.22,76.79
212,20240306,4,7.8,265.02,79.31
213,20240502,5,9.3,527.41,172.65
214,20241105,6,7.4,236.73,53.81
215,20240907,2,7.9,324.59,83.23
216,20240316,1,9.7,281.07,125.5
217,20240212,2,8.3,244.54,85.95
218,20250129,1,8.2,381.76,126.41
219,20241011,5,10.0,412.3,120.87
220,20250222,2,6.2,333.21,87.17
221,20241112,3,9.7,266.91,88.15
222,20240604,6,6.4,272.82,93.29
223,20250317,5,9.2,414.82,133.91
224,20240811,1,9.7,288.91,119.54
225,20240514,4,7.2,197.87,103.99
226,20240506,6,7.8,267.75,91.2
227,20240929,2,8.6,291.38,89.03
228,20241117,4,7.5,214.49,83.72
229,20240529,7,6.4,210.34,81.89
230,20240604,1,9.7,384.1,138.21
231,20241108,2,8.6,321.68,81.23
232,20240102,2,8.5,286.38,87.68
233,20240401,7,7.2,156.29,97.55
234,20240730,6,6.5,279.17,61.83
235,20240707,7,5.6,226.45,72.19
236,20240621,2,8.6,311.34,111.17
237,20240121,7,6.7,213.53,61.27
238,20240728,5,10.8,453.21,123.54
239,20240702,5,10.9,422.44,124.55
240,20250319,7,7.9,220.36,87.6
241,20241216,5,9.9,432.21,117.82
242,20240713,5,9.1,476.5,126.05
243,20240612,6,6.8,231.87,95.87
244,20250228,1,9.9,334.3,116.16
245,20240901,7,6.6,180.74,72.74
246,20240119,3,7.4,283.52,71.48
247,20240217,1,9.4,264.24,103.16
248,20240514,7,6.9,226.54,79.88
249,20240403,6,7.7,192.6,98.26
250,20250129,2,6.5,253.29,83.71
251,20240727,7,5.1,206.04,75.46
252,20250320,5,9.9,433.83,135.34
253,20240405,6,6.7,265.71,91.57
254,20250105,2,6.7,309.22,84.9
255,20240916,5,10.2,551.4,143.28
256,20240702,4,7.7,259.41,74.64
257,20250124,4,6.2,192.9,76.26
258,20240708,5,9.3,484.54,132.04
259,20240424,4,7.8,228.84,107.57
260,20240606,6,7.0,259.48,97.3
261,20250318,5,10.6,485.38,126.55
262,20241025,3,7.9,283.9,84.27
263,20240414,2,8.3,333.18,113.16
264,20240707,1,9.8,362.57,114.13
265,20240908,1,8.7,346.34,113.18
266,20240825,6,8.2,209.46,73.56
267,20241107,1,9.3,319.01,122.61
268,20240227,5,8.5,442.44,100.73
269,20250318,5,10.9,523.73,136.34
270,20250324,6,6.8,252.4,73.34
271,20250319,3,7.4,330.75,70.32
272,20241104,5,9.1,389.92,147.77
273,20240111,6,7.8,272.73,83.76
274,20240320,6,7.8,245.36,83.08
275,20240418,7,6.3,204.63,75.58
276,20240218,1,9.7,361.93,122.69
277,20240211,4,6.3,217.42,63.17
278,20240804,2,6.3,280.84,103.46
279,20240419,5,8.6,453.1,164.4
280,20241113,1,9.0,396.03,113.3
281,20240712,2,7.0,310.34,91.64
282,20240331,7,5.6,178.37,64.67
283,20240827,2,6.3,309.78,110.62
284,20240120,5,8.5,502.75,102.59
285,20240809,7,6.3,182.18,58.69
286,20240929,6,8.9,254.87,76.13
287,20250106,5,9.3,532.76,108.27
288,20240620,5,10.8,440.24,147.7
289,20240928,6,6.2,221.39,83.25
290,20240227,3,8.1,262.28,76.46
291,20250117,6,6.5,222.94,78.46
292,20250208,1,9.4,368.16,94.02
293,20241104,5,10.3,447.64,126.39
294,20240322,6,7.4,231.89,83.7
295,20240517,2,8.0,342.3,111.03
296,20240502,3,8.9,306.26,103.52
297,20240918,1,9.8,286.68,121.54
298,20240117,4,6.8,180.43,77.08
299,20240924,5,10.7,460.17,123.15
300,20241024,6,6.2,248.76,68.9
301,20240229,5,8.5,436.31,124.28
302,20250220,4,7.8,156.96,61.48
303,20241018,5,8.3,528.74,126.67
304,20240123,6,7.8,251.26,52.31
305,20240901,6,8.9,242.46,72.11
306,20240103,1,8.7,300.09,101.9
307,20240430,3,9.9,285.88,101.28
308,20240307,6,7.3,253.41,75.9
309,20241113,2,7.2,298.16,104.21
310,20240622,4,5.5,198.9,107.5
311,20240921,7,5.9,183.53,82.03
312,20240323,1,8.6,374.46,128.2
313,20240122,1,9.7,403.78,113.16
314,20240318,4,6.2,194.63,64.71
315,20250309,3,9.0,309.14,76.54
316,20241216,7,6.7,168.2,75.94
317,20240421,3,7.0,310.13,105.46
318,20250118,2,6.8,258.13,89.74
319,20240813,2,8.5,268.52,84.96
320,20240223,2,6.4,335.97,83.72
321,20240222,7,6.2,157.42,71.65
322,20240901,3,9.7,263.14,86.68
323,20240802,5,9.0,509.02,126.44
324,20241015,7,6.5,192.44,67.6
325,20240902,5,10.0,473.58,125.41
326,20240617,6,6.5,296.87,105.12
327,20241213,5,8.3,437.0,132.87
328,20241003,4,5.2,197.17,84.8
329,20240126,4,5.4,231.18,72.55
330,20240922,4,5.7,237.55,67.98
331,20241115,4,5.7,217.4,94.28
332,20240123,3,8.1,273.59,69.82
333,20240307,4,7.0,257.93,73.92
334,20240922,2,6.9,258.85,98.91
335,20241230,4,5.7,227.0,81.8
336,20240819,1,8.5,321.4,113.57
337,20240502,5,9.8,479.4,154.65
338,20240101,1,8.4,244.98,112.28
339,20240128,1,8.8,354.36,102.67
340,20240906,6,6.8,282.16,71.5
341,20241021,2,7.1,281.85,79.83
342,20240826,3,8.1,271.21,81.63
343,20250108,2,8.5,264.1,88.57
344,20240416,7,6.5,209.78,87.78
345,20240318,3,7.8,271.62,68.32
346,20240704,2,6.2,274.71,96.63
347,20240207,3,9.7,282.7,77.71
348,20241116,4,6.8,223.67,82.14
349,20240102,2,6.1,314.24,79.13
350,20241121,1,8.5,316.14,117.48
351,20240525,7,7.3,233.27,82.47
352,20241103,2,6.8,277.7,82.74
353,20241105,1,9.1,308.65,102.69
354,20250205,3,7.4,283.14,74.34
355,20250209,4,7.5,230.18,71.36
356,20240623,4,8.0,260.38,99.18
357,20241127,4,7.7,219.05,70.38
358,20240315,1,9.2,337.55,109.56
359,20250116,5,9.1,470.59,93.78
360,20240420,5,8.2,470.9,171.42
361,20250108,2,6.2,320.08,86.66
362,20240604,5,9.8,533.18,162.84
363,20240211,5,8.3,507.87,109.54
364,20241021,5,10.4,411.42,124.74
365,20240526,5,8.9,498.23,158.38
366,20241002,1,9.5,378.7,108.42
367,20240308,4,5.7,191.61,82.55
368,20250214,3,8.2,240.86,67.44
369,20241116,1,8.3,331.61,122.75
370,20240331,7,6.9,210.06,70.96
371,20240215,7,6.9,216.4,79.01
372,20240820,7,7.7,185.1,78.57
373,20240710,5,8.3,456.14,122.25
374,20240911,5,9.9,463.88,121.36
375,20240710,1,8.4,296.0,111.67
376,20240703,3,9.0,297.28,94.45
377,20250109,4,5.6,178.2,61.68
378,20241101,5,9.8,419.6,123.2
379,20240401,2,8.4,286.85,100.81
380,20240408,6,8.2,217.46,92.99
381,20240913,3,8.4,308.75,96.72
382,20240915,6,6.8,232.11,67.11
383,20240104,6,7.6,241.9,53.8
384,20240603,5,9.9,487.67,151.77
385,20240206,2,8.2,310.39,80.56
386,20240123,7,7.2,232.54,65.26
387,20240603,1,8.1,322.07,142.24
388,20241210,4,6.3,166.16,79.9
389,20241203,2,8.4,253.04,86.54
390,20240102,5,8.3,461.25,122.18
391,20240922,2,6.6,319.23,94.07
392,20250303,1,9.5,300.95,114.51
393,20240407,6,8.8,250.51,107.58
394,20241211,5,9.1,475.54,120.03
395,20240127,7,7.7,205.28,69.02
396,20241019,6,8.0,186.15,64.15
397,20250308,3,7.5,256.47,76.23
398,20241011,2,7.5,315.45,96.37
399,20240723,3,8.9,258.85,73.76
400,20240515,1,9.7,348.2,151.97
401,20250115,2,7.4,361.22,64.83
402,20241209,4,5.1,258.33,68.17
403,20241111,1,9.7,363.94,124.2
404,20240507,2,6.0,282.2,128.94
405,20241214,2,6.4,302.01,88.23
406,20250324,4,5.2,203.07,79.86
407,20241128,7,5.9,186.96,73.27
408,20240630,6,8.9,217.91,111.2
409,20240125,7,5.1,250.67,59.57
410,20240816,6,8.4,254.65,77.68
411,20240514,2,7.7,303.29,120.33
412,20241004,2,7.7,328.02,85.34
413,20241218,7,6.0,209.56,63.46
414,20250101,3,8.5,278.68,70.61
415,20240115,3,9.0,284.51,80.87
416,20250121,5,11.0,516.29,101.13
417,20240701,2,8.6,297.09,100.15
418,20240504,1,9.0,409.12,155.86
419,20240515,7,6.4,231.86,75.97
420,20240911,1,8.2,403.07,144.05
421,20240818,2,8.8,263.9,87.28
422,20241030,7,5.3,177.14,78.83
423,20250324,6,7.9,244.79,74.51
424,20240404,7,6.7,166.99,76.46
425,20240401,5,8.4,513.87,167.97
426,20241204,3,8.9,252.31,68.71
427,20241203,3,8.4,246.92,69.13
428,20240628,7,5.2,221.48,89.39
429,20250108,7,5.7,223.97,69.66
430,20241020,6,8.6,258.86,63.95
431,20250209,5,10.3,511.94,124.6
432,20250316,2,6.2,292.92,102.68
433,20240506,5,8.4,432.64,170.06
434,20240820,1,8.5,327.92,121.42
435,20240414,2,6.7,291.78,108.56
436,20240113,2,8.4,296.72,89.95
437,20240612,6,8.2,274.65,85.07
438,20241105,5,10.1,554.54,121.73
439,20240414,5,10.4,466.48,158.45
440,20250306,4,6.9,210.3,76.43
441,20241029,6,8.3,233.95,86.69
442,20241121,4,6.3,244.34,80.58
443,20241123,3,9.2,284.9,71.35
444,20240328,4,5.9,253.34,80.57
445,20241222,7,7.4,144.88,76.84
446,20240726,3,8.8,298.0,89.78
447,20240729,1,8.0,324.13,133.44
448,20241020,4,6.8,193.9,89.64
449,20240426,5,8.0,433.06,147.98
450,20241231,3,7.9,237.26,69.32
451,20240624,7,5.4,169.22,86.24
452,20240713,6,6.7,205.08,69.85
453,20241004,6,6.9,245.59,83.92
454,20250209,7,5.0,216.03,50.91
455,20250321,3,8.7,273.28,70.45
456,20240327,7,7.8,204.99,59.12
457,20240101,1,8.5,319.08,111.74
458,20240801,4,6.7,159.92,69.66
459,20240709,5,10.3,435.67,120.98
460,20240429,3,9.9,273.34,92.99
461,20241024,1,9.3,305.55,106.76
462,20240419,1,9.6,342.26,155.84
463,20240713,4,6.2,217.71,58.89
464,20240509,5,9.0,495.72,164.54
465,20240707,4,5.1,214.1,90.9
466,20241224,3,9.5,240.28,68.02
467,20250118,6,6.7,228.02,72.11
468,20240301,5,10.7,425.46,127.58
469,20240517,7,6.6,214.04,81.92
470,20240205,6,7.7,219.55,65.64
471,20241224,7,7.5,197.42,46.97
472,20240226,4,6.6,199.63,84.91
473,20240928,7,5.1,166.7,72.53
474,20240520,5,8.1,474.33,152.93
475,20240610,7,7.4,195.93,82.93
476,20240821,1,8.2,382.48,114.59
477,20241004,6,6.5,251.57,78.25
478,20250206,6,6.5,234.74,98.7
479,20250205,1,8.1,316.92,119.79
480,20240217,2,8.6,315.56,68.57
481,20240517,1,9.9,376.95,155.22
482,20240127,4,6.3,250.48,78.51
483,20250201,1,9.2,381.75,93.87
484,20240519,6,8.0,248.25,93.52
485,20240824,6,8.8,249.46,94.07
486,20240326,3,8.1,236.32,86.5
487,20250127,1,8.5,335.31,111.28
488,20240611,6,8.6,203.32,99.23
489,20240926,6,7.5,256.53,84.24
490,20240830,6,7.1,252.83,62.39
491,20241006,4,7.7,223.43,91.94
492,20240713,3,9.6,312.9,89.12
493,20241221,6,6.8,265.72,63.27
494,20240827,2,7.2,312.8,84.61
495,20240330,1,8.1,305.93,129.12
496,20241028,2,9.0,300.0,94.31
497,20241008,4,5.2,183.38,79.23
498,20240819,7,6.1,202.15,63.05
499,20250305,5,10.3,426.58,123.78
500,20241122,6,7.9,201.69,67.09
501,20241011,4,7.3,216.55,83.03
502,20250123,1,9.7,303.56,104.01
503,20240130,7,5.7,207.08,59.06
504,20240924,7,7.9,171.83,69.11
505,20240804,7,5.1,169.59,70.26
506,20240301,2,8.3,279.79,105.93
507,20250201,4,5.5,221.2,70.25
508,20241013,2,6.1,291.25,90.55
509,20250302,3,7.6,343.45,86.19
510,20240827,7,7.0,198.19,73.59
511,20240826,6,7.1,222.25,58.35
512,20241127,2,6.1,273.21,85.48
513,20250321,7,7.2,221.57,59.15
514,20240628,4,5.6,192.16,92.64
515,20250113,3,8.2,269.11,74.83
516,20250326,4,6.7,203.62,61.87
517,20240804,5,8.1,431.92,132.23
518,20240621,1,8.6,281.42,162.19
519,20240123,6,9.0,249.27,54.09
520,20241215,4,6.2,233.25,74.75
521,20240512,3,7.3,309.52,102.66
522,20240227,6,6.2,219.95,60.96
523,20240406,5,9.9,459.85,159.3
524,20240616,2,8.1,273.75,102.17
525,20240112,4,6.4,242.11,76.74
526,20240828,6,7.3,245.62,66.28
527,20241215,6,6.6,196.65,62.81
528,20240929,4,7.6,218.75,88.9
529,20240927,2,6.7,250.18,96.66
530,20240619,7,6.4,226.78,86.91
531,20240307,3,8.8,288.53,81.47
532,20240822,2,6.2,257.25,80.11
533,20240507,5,10.0,542.46,162.66
534,20240521,7,6.1,210.41,99.16
535,20250318,4,6.9,183.86,74.76
536,20241202,2,7.9,281.83,81.57
537,20240405,7,7.9,188.75,83.34
538,20240204,4,5.4,178.29,78.58
539,20240130,4,7.2,231.66,56.69
540,20241120,6,8.5,246.43,73.14
541,20240925,7,7.3,215.87,66.12
542,20241003,7,5.6,257.44,74.58
543,20240805,4,7.1,214.0,90.14
544,20241020,6,6.0,254.53,71.03
545,20250107,7,6.0,211.7,79.36
546,20240225,7,5.2,188.75,67.3
547,20240310,2,8.2,232.76,92.04
548,20241119,2,6.2,335.33,86.12
549,20240404,6,7.5,202.69,94.72
550,20240124,6,7.1,251.82,64.59
551,20240719,1,9.2,425.69,130.97
552,20240127,7,6.1,170.32,64.44
553,20240920,2,7.5,305.86,85.91
554,20241128,6,6.7,206.22,64.91
555,20241115,5,8.7,503.68,120.79
556,20241108,3,9.9,318.81,100.83
557,20240828,1,8.6,338.3,120.94
558,20250123,4,6.6,217.89,76.72
559,20240526,2,7.7,337.35,115.8
560,20240506,7,6.8,173.93,90.33
561,20250311,3,7.3,229.95,85.87
562,20250101,3,7.6,291.13,88.79
563,20241129,3,8.7,310.42,89.1
564,20240621,4,5.7,261.21,91.09
565,20241019,6,7.2,247.62,68.9
566,20250202,1,9.9,336.75,99.77
567,20240704,3,9.5,231.02,80.33
568,20240127,1,8.8,360.97,113.49
569,20240321,5,10.6,424.58,141.03
570,20240813,5,9.5,395.01,136.55
571,20240331,3,7.9,285.75,92.57
572,20240515,6,7.7,236.49,93.81
573,20240217,3,7.9,269.05,68.97
574,20240126,5,8.0,467.39,131.76
575,20240817,1,9.4,326.26,129.97
576,20240318,1,9.8,283.42,108.97
577,20240921,1,9.8,313.44,124.69
578,20250202,2,7.1,367.36,93.13
579,20241219,7,6.9,231.67,69.84
580,20241230,5,9.9,418.41,105.91
581,20240519,2,6.3,285.99,111.54
582,20241210,2,8.7,250.1,87.99
583,20240202,7,6.1,198.29,47.09
584,20250112,5,9.6,558.68,104.62
585,20250102,2,7.8,304.87,76.37
586,20240415,7,7.5,201.73,89.71
587,20240819,7,7.1,183.17,84.53
588,20250122,2,6.3,294.1,68.19
589,20240105,6,6.8,244.81,70.15
590,20240116,4,6.3,169.97,56.45
591,20250312,5,8.6,545.65,129.84
592,20240825,3,7.5,294.6,90.79
593,20241027,3,9.4,332.69,86.75
594,20241119,1,9.6,403.14,134.29
595,20240119,1,8.2,381.83,104.83
596,20240113,7,6.3,184.03,52.67
597,20240510,3,7.2,274.14,114.78
598,20240917,1,8.2,312.29,126.22
599,20240927,2,6.1,343.53,80.89
600,20240806,7,7.5,182.19,63.51
601,20240202,6,8.7,252.4,57.15
602,20241023,3,7.8,308.42,79.99
603,20241016,3,8.6,230.52,86.96
604,20240929,6,6.6,238.18,87.85
605,20241023,1,9.2,364.3,107.27
606,20241109,1,9.8,360.5,115.85
607,20240919,7,5.2,169.74,61.34
608,20240213,2,8.5,244.84,73.35
609,20240206,6,6.8,218.77,67.13
610,20250303,2,7.6,297.79,107.56
611,20240819,4,6.8,211.68,75.43
612,20250110,3,9.9,318.96,95.08
613,20241019,7,6.1,205.85,74.15
614,20240115,2,6.4,355.28,81.36
615,20240103,2,8.9,304.88,72.45
616,20240712,2,7.7,243.13,91.76
617,20240416,2,8.9,328.55,115.6
618,20240411,3,7.9,329.42,101.19
619,20241219,1,9.8,333.53,101.26
620,20240229,1,9.9,333.63,116.04
621,20241220,5,11.0,411.95,118.61
622,20241114,1,9.3,357.98,115.62
623,20250102,1,8.0,363.65,115.65
624,20240324,5,10.1,440.3,127.33
625,20250204,4,7.7,216.88,84.0
626,20240404,4,7.4,242.5,102.65
627,20240727,6,7.4,245.82,73.32
628,20240720,6,7.4,253.72,84.32
629,20240130,5,9.1,570.85,110.73
630,20241019,5,9.9,436.31,127.81
631,20240620,3,10.0,314.41,101.85
632,20240505,7,7.5,173.74,84.72
633,20241117,7,5.3,213.21,73.2
634,20250228,5,10.8,445.1,117.09
635,20241111,3,9.4,303.64,79.04
636,20250329,4,6.4,202.85,76.97
637,20240412,3,8.1,248.19,107.22
638,20240520,1,9.5,365.4,138.1
639,20240820,1,9.9,306.84,112.65
640,20241107,5,11.0,429.97,148.13
641,20241006,4,5.5,250.1,79.54
642,20240915,6,7.9,240.17,69.2
643,20240710,5,9.0,536.31,143.85
644,20240129,4,7.3,176.93,73.0
645,20250203,3,7.7,329.95,75.53
646,20240328,1,8.4,336.21,122.53
647,20250122,2,6.4,359.05,92.92
648,20250330,2,7.7,307.58,81.97
649,20240223,3,9.9,276.73,79.77
650,20240828,2,7.2,266.06,88.65
651,20240527,4,6.7,175.44,101.05
652,20240319,3,9.8,231.11,78.06
653,20240719,2,8.5,229.21,92.58
654,20241108,2,8.2,280.67,76.13
655,20240412,1,9.4,316.97,168.28
656,20240814,4,5.9,213.47,78.35
657,20241118,2,7.6,346.82,91.11
658,20240506,6,7.3,180.74,101.5
659,20241107,1,8.9,301.52,116.34
660,20240329,1,9.9,313.28,113.78
661,20240304,2,7.0,346.42,84.5
662,20240713,5,9.2,500.7,136.62
663,20240927,6,8.4,233.44,78.68
664,20240721,6,7.8,259.57,83.3
665,20240328,2,7.2,269.82,79.43
666,20240716,1,9.7,237.16,114.39
667,20250208,1,9.0,342.79,106.68
668,20241129,2,7.8,269.29,87.7
669,20250214,5,8.2,384.67,111.69
670,20240317,3,7.6,282.9,84.83
671,20240327,5,9.0,409.84,132.0
672,20240306,5,8.5,474.14,133.1
673,20240824,5,10.4,443.03,127.02
674,20240810,7,6.5,198.41,79.2
675,20241128,6,8.9,294.71,64.77
676,20240928,2,7.7,295.52,96.83
677,20240505,3,7.8,282.1,107.13
678,20250119,5,10.6,495.71,119.23
679,20241117,5,10.1,384.15,119.83
680,20241217,4,5.1,196.8,84.74
681,20240306,5,9.1,489.55,130.24
682,20240916,4,5.3,203.61,76.83
683,20250325,3,9.6,264.79,78.72
684,20240831,5,10.7,472.36,138.46
685,20240104,7,7.8,191.7,56.71
686,20241128,1,10.0,367.09,125.33
687,20250304,2,6.5,319.67,97.51
688,20240913,1,9.2,291.57,119.75
689,20240703,7,6.4,174.02,70.65
690,20240307,6,6.1,247.28,79.49
691,20250106,6,7.5,191.93,75.53
692,20250202,6,8.0,207.82,78.41
693,20240307,7,7.8,167.67,94.86
694,20240406,5,10.7,521.32,157.83
695,20240114,5,10.9,552.33,122.88
696,20240110,4,7.4,280.91,81.06
