log_id,date_key,stage_id,rework_reason,man_hours_lost,parts_cost_lost
563,20240909,5,Design mismatch,17.1,2955.43
564,20240409,2,Machine calibration,9.8,2022.34
565,20240815,3,Equipment failure,21.3,4218.41
566,20240519,2,Power fluctuation,14.1,2502.41
567,20241011,5,Machine calibration,10.2,2366.59
568,20250130,4,Quality rejection,11.5,1625.01
569,20250113,7,Supplier defect,15.4,2628.57
570,20240507,4,Power fluctuation,9.2,2215.97
571,20240901,6,Quality rejection,11.5,1309.74
572,20240717,1,Material defect,21.3,3371.19
573,20240615,5,Supplier defect,14.3,2861.77
574,20240801,2,Quality rejection,6.6,1214.56
575,20240224,6,Design mismatch,11.2,2144.68
576,20240719,1,Supplier defect,14.1,3031.59
577,20241021,2,Design mismatch,13.4,2782.7
578,20240724,3,Design mismatch,10.9,2570.45
579,20240628,7,Design mismatch,13.4,3097.64
580,20240605,5,Supplier defect,21.5,3427.19
581,20240618,4,Material defect,14.6,2596.57
582,20240519,4,Equipment failure,18.8,3191.12
583,20240131,1,Supplier defect,19.8,2762.8
584,20250225,7,Machine calibration,10.6,1789.89
585,20250222,3,Equipment failure,34.3,4589.37
586,20240829,4,Machine calibration,11.4,1932.84
587,20250320,7,Process deviation,11.4,1853.13
588,20240427,2,Process deviation,7.8,2036.62
589,20240425,6,Design mismatch,13.9,2050.22
590,20240701,6,Tooling wear,9.1,2908.37
591,20240927,7,Equipment failure,18.2,4700.87
